ABL1,NM_005157
OR7A17,NM_030901
OR7C2,NM_012377
SLC1A6,NM_005071
CCDC105,NM_173482
CASP14,NM_012114
OR1I1,NM_001004713
SYDE1,NM_033025
ILVBL,NM_006844
EPHX3,NM_024794
AKAP8,NM_005858
AKAP8L,NM_014371
WIZ,NM_001371589
RASAL3,NM_022904
PGLYRP2,NM_052890
CYP4F22,NM_173483
CYP4F8,NM_007253
CYP4F3,NM_000896
CYP4F12,NM_023944
OR10H2,NM_013939
OR10H3,NM_013938
OR10H5,NM_001004466
OR10H1,NM_013940
CYP4F2,NM_001082
CYP4F11,NM_021187
OR10H4,NM_001004465
TPM4,NM_003290
RAB8A,NM_005370
HSH2D,NM_001382417
CIB3,NM_054113
FAM32A,NM_014077
AP1M1,NM_032493
KLF2,NM_016270
EPS15L1,NM_001258374
CALR3,NM_145046
C19orf44,NM_032207
CHERP,NM_006387
SLC35E1,NM_024881
MED26,NM_004831
SMIM7,NM_024104
TMEM38A,NM_024074
NWD1,NM_001007525
SIN3B,NM_001297595
F2RL3,NM_003950
CPAMD8,NM_015692
HAUS8,NM_033417
MYO9B,NM_004145
USE1,NM_018467
OCEL1,NM_024578
NR2F6,NM_005234
USHBP1,NM_031941
ANKLE1,NM_152363
ABHD8,NM_024527
MRPL34,NM_023937
DDA1,NM_024050
ANO8,NM_020959
GTPBP3,NM_032620
PLVAP,NM_031310
BST2,NM_004335
MVB12A,NM_138401
TMEM221,NM_001190844
NXNL1,NM_138454
SLC27A1,NM_198580
PGLS,NM_012088
NIBAN3,NM_001321827
COLGALT1,NM_024656
UNC13A,NM_001080421
MAP1S,NM_018174
FCHO1,NM_015122
B3GNT3,NM_014256
INSL3,NM_005543
RPL18A,NM_000980
SLC5A5,NM_000453
CCDC124,NM_001136203
KCNN1,NM_001386974
ARRDC2,NM_015683
IL12RB1,NM_005535
MAST3,NM_001393504
IFI30,NM_006332
MPV17L2,NM_032683
RAB3A,NM_002866
IQCN,NM_001145304
JUND,NM_005354
LSM4,NM_012321
PGPEP1,NM_017712
GDF15,NM_004864
LRRC25,NM_145256
SSBP4,NM_032627
ISYNA1,NM_016368
ELL,NM_006532
FKBP8,NM_012181
KXD1,NM_024069
UBA52,NM_001033930
CRLF1,NM_004750
REX1BD,NM_001100418
TMEM59L,NM_012109
KLHL26,NM_018316
CRTC1,NM_015321
COMP,NM_000095
GDF1,NM_001492
CERS1,NM_021267
COPE,NM_007263
DDX49,NM_019070
HOMER3,NM_004838
SUGP2,NM_001017392
ARMC6,NM_001199196
SLC25A42,NM_178526
TMEM161A,NM_017814
BORCS8,NM_001145784
RFXANK,NM_003721
NR2C2AP,NM_176880
NCAN,NM_004386
HAPLN4,NM_023002
TM6SF2,NM_001001524
SUGP1,NM_172231
MAU2,NM_015329
GATAD2A,NM_001384528
TSSK6,NM_032037
NDUFA13,NM_015965
YJEFN3,NM_198537
CILP2,NM_153221
PBX4,NM_025245
LPAR2,NM_004720
GMIP,NM_016573
ATP13A1,NM_020410
ZNF101,NM_033204
ZNF14,NM_021030
ZNF506,NM_001099269
ZNF253,NM_021047
ZNF93,NM_031218
ZNF682,NM_033196
ZNF90,NM_007138
ZNF486,NM_052852
ZNF737,NM_001159293
ZNF626,NM_001076675
ZNF66,NM_001355197
ZNF85,NM_003429
ZNF430,NM_025189
ZNF714,NM_182515
ZNF431,NM_133473
ZNF708,NM_021269
ZNF738,NM_001355237
ZNF493,NM_001076678
ZNF429,NM_001001415
ZNF100,NM_173531
ZNF43,NM_003423
ZNF208,NM_007153
ZNF257,NM_033468
ZNF676,NM_001001411
ZNF729,NM_001242680
ZNF98,NM_001098626
ZNF492,NM_020855
ZNF99,NM_001080409
ZNF723,NM_001349726
ZNF728,NM_001267716
ZNF730,NM_001277403
ZNF724,NM_001355404
ZNF91,NM_003430
ZNF675,NM_138330
ZNF681,NM_138286
RPSAP58,NM_001355283
ZNF726,NM_001244038
ZNF254,NM_203282
UQCRFS1,NM_006003
VSTM2B,NM_001146339
POP4,NM_006627
PLEKHF1,NM_024310
C19orf12,NM_031448
URI1,NM_003796
ZNF536,NM_014717
TSHZ3,NM_020856
ZNF507,NM_001136156
DPY19L3,NM_001172774
PDCD5,NM_004708
ANKRD27,NM_032139
RGS9BP,NM_207391
NUDT19,NM_001105570
SLC7A9,NM_014270
CEP89,NM_032816
FAAP24,NM_152266
RHPN2,NM_033103
GPATCH1,NM_018025
WDR88,NM_173479
LRP3,NM_002333
SLC7A10,NM_019849
CEBPG,NM_001806
PEPD,NM_000285
CHST8,NM_001127895
KCTD15,NM_001129994
LSM14A,NM_015578
GARRE1,NM_014686
GPI,NM_000175
PDCD2L,NM_032346
UBA2,NM_005499
WTIP,NM_001080436
SCGB2B2,NM_001025591
ZNF302,NM_001289187
ZNF181,NM_001029997
ZNF599,NM_001007248
ZNF30,NM_194325
ZNF792,NM_175872
GRAMD1A,NM_020895
SCN1B,NM_001037
HPN,NM_001384133
FXYD3,NM_005971
LGI4,NM_139284
FXYD1,NM_021902
FXYD7,NM_022006
FXYD5,NM_014164
FAM187B,NM_152481
LSR,NM_205834
USF2,NM_003367
HAMP,NM_021175
MAG,NM_002361
CD22,NM_001771
FFAR3,NM_005304
GPR42,NM_001348195
FFAR2,NM_001370087
KRTDAP,NM_207392
DMKN,NM_033317
SBSN,NM_001166034
GAPDHS,NM_014364
TMEM147,NM_032635
ATP4A,NM_000704
HAUS5,NM_015302
RBM42,NM_024321
ETV2,NM_014209
COX6B1,NM_001863
ZBTB32,NM_014383
IGFLR1,NM_024660
U2AF1L4,NM_001040425
PSENEN,NM_172341
LIN37,NM_019104
HSPB6,NM_144617
ARHGAP33,NM_001366178
PRODH2,NM_021232
NPHS1,NM_004646
KIRREL2,NM_199180
APLP1,NM_001024807
HCST,NM_014266
TYROBP,NM_003332
LRFN3,NM_024509
SDHAF1,NM_001042631
SYNE4,NM_001039876
ALKBH6,NM_032878
CLIP3,NM_015526
THAP8,NM_152658
WDR62,NM_001083961
OVOL3,NM_001302757
POLR2I,NM_006233
TBCB,NM_001281
CAPNS1,NM_001749
COX7A1,NM_001864
ZNF565,NM_152477
ZNF146,NM_007145
ZFP14,NM_020917
ZFP82,NM_133466
ZNF566,NM_001145344
ZNF260,NM_001166037
ZNF529,NM_020951
ZNF382,NM_032825
ZNF461,NM_153257
ZNF567,NM_001322917
ZNF850,NM_001193552
ZNF790,NM_206894
ZNF345,NM_001242472
ZNF829,NM_001037232
ZNF568,NM_198539
ZNF420,NM_144689
ZNF585A,NM_001288800
ZNF585B,NM_152279
ZNF383,NM_001387601
ZNF875,NM_001353803
ZNF527,NM_032453
ZNF569,NM_152484
ZNF570,NM_144694
ZNF793,NM_001013659
ZNF540,NM_001172225
ZNF571,NM_016536
ZFP30,NM_001320669
ZNF781,NM_152605
ZNF607,NM_032689
ZNF573,NM_001172690
WDR87,NM_001291088
SIPA1L3,NM_015073
DPF1,NM_001135155
SPINT2,NM_021102
PPP1R14A,NM_033256
YIF1B,NM_001039672
C19orf33,NM_033520
KCNK6,NM_004823
CATSPERG,NM_021185
PSMD8,NM_002812
GGN,NM_152657
SPRED3,NM_001394336
FAM98C,NM_174905
RASGRP4,NM_170604
RYR1,NM_000540
MAP4K1,NM_001042600
EIF3K,NM_013234
ACTN4,NM_004924
CAPN12,NM_144691
LGALS7,NM_002307
LGALS7B,NM_001042507
LGALS4,NM_006149
ECH1,NM_001398
HNRNPL,NM_001533
RINL,NM_001195833
SIRT2,NM_012237
NFKBIB,NM_002503
CCER2,NM_001243212
SARS2,NM_017827
MRPS12,NM_033362
FBXO17,NM_024907
FBXO27,NM_178820
ACP7,NM_001004318
NCCRP1,NM_001001414
SYCN,NM_001080468
IFNL3,NM_172139
IFNL2,NM_172138
IFNL1,NM_172140
LRFN1,NM_020862
GMFG,NM_004877
SAMD4B,NM_001384574
PAF1,NM_019088
MED29,NM_017592
ZFP36,NM_003407
PLEKHG2,NM_022835
RPS16,NM_001020
SUPT5H,NM_001111020
TIMM50,NM_001001563
DLL3,NM_203486
EID2B,NM_152361
EID2,NM_153232
LGALS13,NM_013268
LGALS16,NM_001190441
LGALS14,NM_020129
CLC,NM_001828
LEUTX,NM_001382345
DYRK1B,NM_004714
FBL,NM_001436
PSMC4,NM_006503
ZNF546,NM_178544
ZNF780B,NM_001005851
ZNF780A,NM_001142578
MAP3K10,NM_002446
TTC9B,NM_152479
CCNP,NM_024877
C19orf47,NM_001256441
PLD3,NM_012268
HIPK4,NM_144685
PRX,NM_181882
SERTAD1,NM_013376
SERTAD3,NM_203344
BLVRB,NM_000713
SPTBN4,NM_020971
SHKBP1,NM_138392
LTBP4,NM_001042545
NUMBL,NM_004756
COQ8B,NM_024876
ITPKC,NM_025194
C19orf54,NM_198476
SNRPA,NM_004596
MIA,NM_006533
RAB4B,NM_016154
EGLN2,NM_080732
CYP2A6,NM_000762
CYP2A7,NM_000764
CYP2B6,NM_000767
CYP2A13,NM_000766
CYP2F1,NM_000774
CYP2S1,NM_030622
HNRNPUL1,NM_007040
TGFB1,NM_000660
CCDC97,NM_052848
TMEM91,NM_001098821
B9D2,NM_030578
EXOSC5,NM_020158
BCKDHA,NM_000709
B3GNT8,NM_001385648
DMAC2,NM_018035
ERICH4,NM_001130514
CEACAM21,NM_001098506
CEACAM4,NM_001817
CEACAM7,NM_001291485
CEACAM5,NM_004363
CEACAM6,NM_002483
CEACAM3,NM_001815
LYPD4,NM_173506
DMRTC2,NM_001040283
RPS19,NM_001022
ARHGEF1,NM_004706
ERFL,NM_001365103
RABAC1,NM_006423
ATP1A3,NM_152296
GRIK5,NM_002088
ZNF574,NM_022752
POU2F2,NM_001394376
DEDD2,NM_133328
ZNF526,NM_133444
GSK3A,NM_019884
PAFAH1B3,NM_002573
PRR19,NM_199285
TMEM145,NM_173633
MEGF8,NM_001271938
CNFN,NM_032488
LIPE,NM_005357
CXCL17,NM_198477
CEACAM1,NM_001712
CEACAM8,NM_001816
PSG3,NM_021016
PSG8,NM_182707
PSG1,NM_001184825
PSG6,NM_001031850
PSG7,NM_002783
PSG11,NM_002785
PSG2,NM_031246
PSG5,NM_002781
PSG4,NM_002780
PSG9,NM_002784
CD177,NM_020406
TEX101,NM_001130011
LYPD3,NM_014400
PHLDB3,NM_198850
ETHE1,NM_014297
ZNF575,NM_174945
XRCC1,NM_006297
IRGQ,NM_001007561
ZNF576,NM_001145347
SRRM5,NM_001145641
ZNF428,NM_182498
CADM4,NM_145296
PLAUR,NM_002659
IRGC,NM_019612
SMG9,NM_019108
KCNN4,NM_002250
LYPD5,NM_001031749
ZNF283,NM_181845
ZNF404,NM_001033719
ZNF45,NM_003425
ZNF221,NM_001297588
ZNF155,NM_198089
ZNF230,NM_006300
ZNF222,NM_001129996
ZNF223,NM_013361
ZNF284,NM_001037813
ZNF224,NM_001321645
ZNF225,NM_013362
ZNF234,NM_006630
ZNF226,NM_001032373
ZNF227,NM_182490
ZNF235,NM_004234
ZNF233,NM_001207005
ZNF112,NM_013380
ZNF285,NM_152354
ZNF229,NM_014518
ZNF180,NM_001278509
CEACAM20,NM_001102597
IGSF23,NM_001205280
PVR,NM_006505
CEACAM19,NM_001127893
CEACAM16,NM_001039213
BCL3,NM_005178
CBLC,NM_012116
BCAM,NM_005581
NECTIN2,NM_001042724
TOMM40,NM_001128917
APOE,NM_000041
APOC1,NM_001645
APOC4,NM_001646
APOC2,NM_000483
CLPTM1,NM_001294
RELB,NM_006509
CLASRP,NM_007056
ZNF296,NM_145288
GEMIN7,NM_024707
MARK4,NM_001199867
PPP1R37,NM_019121
NKPD1,NM_198478
TRAPPC6A,NM_001270891
BLOC1S3,NM_212550
EXOC3L2,NM_001382422
CKM,NM_001824
KLC3,NM_177417
PPP1R13L,NM_006663
POLR1G,NM_012099
ERCC1,NM_001983
FOSB,NM_006732
RTN2,NM_005619
PPM1N,NM_001080401
VASP,NM_003370
OPA3,NM_025136
GPR4,NM_005282
EML2,NM_012155
GIPR,NM_000164
SNRPD2,NM_001384647
QPCTL,NM_017659
FBXO46,NM_001080469
MEIOSIN,NM_001310124
SIX5,NM_175875
DMPK,NM_004409
DMWD,NM_004943
RSPH6A,NM_030785
SYMPK,NM_004819
FOXA3,NM_004497
IRF2BP1,NM_015649
MYPOP,NM_001012643
NANOS2,NM_001029861
NOVA2,NM_002516
CCDC61,NM_001267723
PGLYRP1,NM_005091
IGFL4,NM_001002923
IGFL3,NM_207393
IGFL2,NM_001135113
IGFL1,NM_198541
HIF3A,NM_152795
PPP5C,NM_006247
CCDC8,NM_032040
PNMA8C,NM_001386793
PNMA8A,NM_018215
PNMA8B,NM_020709
CALM3,NM_005184
PTGIR,NM_000960
GNG8,NM_033258
DACT3,NM_145056
PRKD2,NM_016457
STRN4,NM_013403
FKRP,NM_024301
SLC1A5,NM_005628
AP2S1,NM_004069
ARHGAP35,NM_004491
NPAS1,NM_002517
TMEM160,NM_017854
ZC3H4,NM_015168
SAE1,NM_005500
CCDC9,NM_015603
INAFM1,NM_178511
C5AR1,NM_001736
C5AR2,NM_001271749
DHX34,NM_014681
MEIS3,NM_001301059
SLC8A2,NM_015063
KPTN,NM_007059
NAPA,NM_003827
ZNF541,NM_001277075
BICRA,NM_001394372
EHD2,NM_014601
NOP53,NM_015710
SELENOW,NM_003009
CRX,NM_000554
SULT2A1,NM_003167
BSPH1,NM_001128326
ELSPBP1,NM_022142
CABP5,NM_019855
PLA2G4C,NM_003706
LIG1,NM_000234
ZSWIM9,NM_199341
CARD8,NM_001184900
ZNF114,NM_153608
ODAD1,NM_001364171
EMP3,NM_001425
TMEM143,NM_018273
SYNGR4,NM_012451
KDELR1,NM_006801
GRIN2D,NM_000836
GRWD1,NM_031485
KCNJ14,NM_013348
CYTH2,NM_004228
LMTK3,NM_001388485
SULT2B1,NM_177973
FAM83E,NM_017708
SPACA4,NM_133498
RPL18,NM_000979
SPHK2,NM_020126
DBP,NM_001352
CA11,NM_001217
NTN5,NM_145807
FUT2,NM_000511
MAMSTR,NM_001130915
RASIP1,NM_017805
IZUMO1,NM_182575
FUT1,NM_001384359
FGF21,NM_019113
BCAT2,NM_001190
HSD17B14,NM_016246
PLEKHA4,NM_020904
PPP1R15A,NM_014330
TULP2,NM_003323
NUCB1,NM_006184
DHDH,NM_014475
BAX,NM_138761
FTL,NM_000146
GYS1,NM_002103
RUVBL2,NM_006666
LHB,NM_000894
CGB3,NM_000737
CGB2,NM_033378
CGB1,NM_033377
CGB5,NM_033043
CGB8,NM_033183
CGB7,NM_001385261
KCNA7,NM_031886
SNRNP70,NM_003089
LIN7B,NM_022165
C19orf73,NM_018111
PPFIA3,NM_003660
HRC,NM_002152
TRPM4,NM_017636
SLC6A16,NM_014037
CD37,NM_001774
TEAD2,NM_001256660
DKKL1,NM_014419
KASH5,NM_144688
PTH2,NM_178449
GFY,NM_001195256
SLC17A7,NM_020309
PIH1D1,NM_017916
ALDH16A1,NM_153329
FLT3LG,NM_001459
RPL13A,NM_012423
RPS11,NM_001015
FCGRT,NM_001136019
RCN3,NM_020650
NOSIP,NM_001270960
PRRG2,NM_000951
PRR12,NM_020719
SCAF1,NM_021228
IRF3,NM_001571
BCL2L12,NM_138639
PRMT1,NM_001536
ADM5,NM_001101340
CPT1C,NM_001199753
TSKS,NM_021733
AP2A1,NM_130787
FUZ,NM_025129
MED25,NM_030973
PNKP,NM_007254
AKT1S1,NM_001098633
TBC1D17,NM_024682
IL4I1,NM_152899
NUP62,NM_016553
ATF5,NM_001193646
SIGLEC11,NM_052884
VRK3,NM_016440
ZNF473,NM_015428
IZUMO2,NM_152358
MYH14,NM_001145809
KCNC3,NM_004977
NR1H2,NM_007121
NAPSA,NM_004851
SPIB,NM_003121
MYBPC2,NM_004533
FAM71E1,NM_001308429
EMC10,NM_206538
JOSD2,NM_001270639
ASPDH,NM_001114598
LRRC4B,NM_001080457
SYT3,NM_001160329
C19orf81,NM_001195076
SHANK1,NM_016148
CLEC11A,NM_002975
GPR32,NM_001506
CTD-2568A17.1,NM_001384597
ACP4,NM_033068
KLK1,NM_002257
KLK3,NM_001648
KLK2,NM_005551
KLK5,NM_012427
KLK6,NM_002774
KLK7,NM_005046
KLK9,NM_012315
KLK10,NM_145888
KLK11,NM_001136032
KLK12,NM_001370125
KLK13,NM_015596
KLK14,NM_001369775
CTU1,NM_145232
SIGLEC9,NM_014441
SIGLEC7,NM_014385
CD33,NM_001772
SIGLECL1,NM_001385465
IGLON5,NM_001101372
VSIG10L,NM_001163922
ETFB,NM_001985
CLDND2,NM_152353
NKG7,NM_005601
LIM2,NM_001161748
C19orf84,NM_001193623
SIGLEC10,NM_033130
SIGLEC8,NM_014442
SIGLEC12,NM_053003
SIGLEC6,NM_001245
ZNF175,NM_007147
SIGLEC5,NM_003830
SIGLEC14,NM_001098612
SPACA6,NM_001316972
HAS1,NM_001297436
FPR1,NM_002029
FPR2,NM_001005738
FPR3,NM_002030
ZNF577,NM_001370449
ZNF649,NM_023074
ZNF613,NM_001031721
ZNF350,NM_021632
ZNF615,NM_001199324
ZNF614,NM_025040
ZNF432,NM_014650
ZNF841,NM_001136499
ZNF616,NM_178523
ZNF836,NM_001102657
ZNF766,NM_001010851
ZNF480,NM_144684
ZNF610,NM_001161425
ZNF880,NM_001145434
ZNF528,NM_032423
ZNF534,NM_001143938
ZNF578,NM_001099694
ZNF808,NM_001039886
ZNF701,NM_018260
ZNF611,NM_001161499
ZNF28,NM_006969
ZNF468,NM_001008801
ZNF320,NM_001351774
ZNF888,NM_001393938
ZNF816,NM_001202457
ERVV-1,NM_152473
ERVV-2,NM_001191055
ZNF160,NM_001322131
ZNF415,NM_018355
ZNF347,NM_032584
ZNF665,NM_024733
ZNF677,NM_182609
VN1R2,NM_173856
ZNF845,NM_138374
ZNF525,NM_001348156
ZNF765,NM_001040185
ZNF761,NM_001289951
ZNF813,NM_001004301
ZNF331,NM_001079906
NLRP12,NM_144687
MYADM,NM_138373
PRKCG,NM_002739
CACNG7,NM_031896
CACNG8,NM_031895
CACNG6,NM_145814
VSTM1,NM_198481
TARM1,NM_001135686
OSCAR,NM_133169
NDUFA3,NM_004542
TFPT,NM_013342
PRPF31,NM_015629
CNOT3,NM_014516
LENG1,NM_024316
TMC4,NM_144686
MBOAT7,NM_024298
TSEN34,NM_001077446
RPS9,NM_001013
LILRB5,NM_001081442
LILRB2,NM_001080978
LILRA5,NM_021250
LILRA4,NM_012276
LAIR1,NM_002287
TTYH1,NM_020659
LENG8,NM_052925
LENG9,NM_001301782
CDC42EP5,NM_145057
LAIR2,NM_002288
LILRA2,NM_001130917
LILRA1,NM_006863
LILRB1,NM_001081637
KIR3DL3,NM_153443
KIR2DL3,NM_015868
KIR2DL1,NM_014218
KIR3DL2,NM_006737
FCAR,NM_002000
NCR1,NM_004829
NLRP2,NM_017852
GP6,NM_001083899
RDH13,NM_001145971
EPS8L1,NM_133180
PPP1R12C,NM_017607
TNNT1,NM_003283
TNNI3,NM_000363
DNAAF3,NM_001256715
SYT5,NM_003180
PTPRH,NM_002842
TMEM86B,NM_173804
PPP6R1,NM_014931
HSPBP1,NM_012267
BRSK1,NM_032430
TMEM150B,NM_001282011
KMT5C,NM_032701
COX6B2,NM_144613
FAM71E2,NM_001145402
IL11,NM_000641
TMEM190,NM_139172
TMEM238,NM_001190764
RPL28,NM_000991
UBE2S,NM_014501
SHISA7,NM_001145176
ISOC2,NM_001136201
C19orf85,NM_001386794
ZNF628,NM_033113
NAT14,NM_020378
SSC5D,NM_001144950
SBK2,NM_001370096
SBK3,NM_001199824
ZNF579,NM_152600
FIZ1,NM_032836
ZNF524,NM_153219
ZNF865,NM_001195605
ZNF784,NM_203374
ZNF580,NM_207115
ZNF581,NM_016535
CCDC106,NM_001370470
U2AF2,NM_007279
EPN1,NM_001130072
NLRP9,NM_176820
RFPL4A,NM_001145014
RFPL4AL1,NM_001277397
NLRP4,NM_134444
NLRP13,NM_176810
NLRP8,NM_176811
NLRP5,NM_153447
ZNF787,NM_001002836
ZNF444,NM_018337
GALP,NM_033106
ZSCAN5A,NM_001322064
EDDM13,NM_001354658
ZNF583,NM_152478
ZNF667,NM_001321356
ZNF471,NM_020813
ZFP28,NM_020828
ZNF470,NM_001001668
ZNF71,NM_001370215
SMIM17,NM_001193628
ZNF835,NM_001005850
ZIM2,NM_001387356
PEG3,NM_006210
USP29,NM_020903
ZIM3,NM_052882
DUXA,NM_001012729
ZNF264,NM_003417
AURKC,NM_001015878
ZNF805,NM_001023563
ZNF460,NM_006635
ZNF543,NM_213598
ZNF304,NM_020657
ZNF547,NM_173631
TRAPPC2B,NM_001355204
ZNF548,NM_001172773
ZNF17,NM_001330617
ZNF749,NM_001023561
VN1R1,NM_020633
ZNF772,NM_001144068
ZNF419,NM_024691
ZNF773,NM_198542
ZNF549,NM_001199295
ZNF416,NM_017879
ZIK1,NM_001010879
ZNF530,NM_001321981
ZNF134,NM_003435
ZNF211,NM_006385
ZNF551,NM_138347
ZNF154,NM_001085384
ZNF671,NM_024833
ZNF776,NM_173632
ZNF586,NM_017652
ZNF552,NM_024762
ZNF587B,NM_001376223
ZNF814,NM_001144989
ZNF587,NM_032828
ZNF417,NM_152475
ZNF418,NM_133460
ZNF256,NM_005773
C19orf18,NM_152474
ZNF606,NM_001348022
ZSCAN1,NM_182572
ZNF135,NM_001289401
ZSCAN18,NM_001145543
ZNF329,NM_024620
ZNF274,NM_133502
ZNF544,NM_014480
ZNF8,NM_021089
ZSCAN22,NM_181846
A1BG,NM_130786
ZNF497,NM_198458
ZNF837,NM_138466
RPS5,NM_001009
RNF225,NM_001195135
ZNF584,NM_173548
ZNF132,NM_003433
ZNF324B,NM_207395
ZNF324,NM_014347
ZNF446,NM_017908
SLC27A5,NM_012254
ZBTB45,NM_001316979
TRIM28,NM_005762
CHMP2A,NM_014453
UBE2M,NM_003969
MZF1,NM_198055
DEFB125,NM_153325
DEFB126,NM_030931
DEFB127,NM_139074
DEFB128,NM_001037732
DEFB129,NM_080831
DEFB132,NM_207469
C20orf96,NM_153269
ZCCHC3,NM_033089
SOX12,NM_006943
NRSN2,NM_001323682
TRIB3,NM_021158
RBCK1,NM_031229
TBC1D20,NM_144628
CSNK2A1,NM_177559
TCF15,NM_004609
SRXN1,NM_080725
SCRT2,NM_033129
SLC52A3,NM_033409
FAM110A,NM_001042353
ANGPT4,NM_015985
RSPO4,NM_001029871
PSMF1,NM_006814
TMEM74B,NM_001304748
C20orf202,NM_001394958
RAD21L1,NM_001384355
SNPH,NM_001318234
SDCBP2,NM_080489
FKBP1A,NM_000801
NSFL1C,NM_016143
SIRPB2,NM_001122962
SIRPD,NM_178460
SIRPB1,NM_006065
SIRPG,NM_018556
SIRPA,NM_001040023
PDYN,NM_024411
STK35,NM_080836
TGM3,NM_003245
TGM6,NM_198994
SNRPB,NM_003091
ZNF343,NM_024325
TMC2,NM_080751
NOP56,NM_006392
IDH3B,NM_006899
CPXM1,NM_019609
C20orf141,NM_001256538
TMEM239,NM_001167670
PCED1A,NM_022760
VPS16,NM_022575
PTPRA,NM_001385305
GNRH2,NM_178331
MRPS26,NM_030811
OXT,NM_000915
AVP,NM_000490
UBOX5,NM_014948
FASTKD5,NM_021826
LZTS3,NM_001365618
DDRGK1,NM_023935
ITPA,NM_033453
SLC4A11,NM_001174089
DNAAF9,NM_001009984
ATRN,NM_139321
GFRA4,NM_022139
ADAM33,NM_025220
SIGLEC1,NM_023068
HSPA12B,NM_052970
C20orf27,NM_001258429
SPEF1,NM_015417
CENPB,NM_001810
CDC25B,NM_021873
AP5S1,NM_018347
MAVS,NM_020746
PANK2,NM_001386393
RNF24,NM_001134337
SMOX,NM_175839
ADRA1D,NM_000678
PRNP,NM_000311
PRND,NM_012409
RASSF2,NM_014737
SLC23A2,NM_005116
TMEM230,NM_001009923
PCNA,NM_182649
CDS2,NM_003818
PROKR2,NM_144773
GPCPD1,NM_019593
SHLD1,NM_152504
CHGB,NM_001819
TRMT6,NM_015939
MCM8,NM_032485
CRLS1,NM_019095
LRRN4,NM_152611
FERMT1,NM_017671
BMP2,NM_001200
HAO1,NM_017545
TMX4,NM_021156
PLCB1,NM_015192
PLCB4,NM_001377142
LAMP5,NM_012261
PAK5,NM_177990
ANKEF1,NM_022096
SNAP25,NM_130811
MKKS,NM_170784
SLX4IP,NM_001009608
JAG1,NM_000214
BTBD3,NM_014962
SPTLC3,NM_018327
ISM1,NM_080826
TASP1,NM_017714
ESF1,NM_001276380
NDUFAF5,NM_024120
SEL1L2,NM_025229
MACROD2,NM_001351661
FLRT3,NM_198391
KIF16B,NM_024704
SNRPB2,NM_003092
OTOR,NM_020157
PCSK2,NM_002594
BFSP1,NM_001195
DSTN,NM_006870
RRBP1,NM_001365613
BANF2,NM_178477
SNX5,NM_014426
OVOL2,NM_021220
MGME1,NM_052865
KAT14,NM_001392073
PET117,NM_001164811
ZNF133,NM_001352452
POLR3F,NM_006466
RBBP9,NM_006606
SEC23B,NM_006363
SMIM26,NM_001348957
DTD1,NM_080820
SCP2D1,NM_178483
SLC24A3,NM_020689
RIN2,NM_018993
NAA20,NM_016100
CRNKL1,NM_001278628
CFAP61,NM_015585
INSM1,NM_002196
RALGAPA2,NM_020343
KIZ,NM_018474
XRN2,NM_012255
NKX2-4,NM_033176
NKX2-2,NM_002509
PAX1,NM_001257096
FOXA2,NM_021784
SSTR4,NM_001052
THBD,NM_000361
CD93,NM_012072
NXT1,NM_013248
GZF1,NM_022482
NAPB,NM_022080
CSTL1,NM_138283
CST11,NM_130794
CST8,NM_005492
CST9L,NM_080610
CST9,NM_001008693
CST3,NM_000099
CST4,NM_001899
CST1,NM_001898
CST2,NM_001322
CST5,NM_001900
GGTLC1,NM_178311
SYNDIG1,NM_024893
CST7,NM_003650
APMAP,NM_020531
ACSS1,NM_032501
VSX1,NM_014588
ENTPD6,NM_001247
PYGB,NM_002862
ABHD12,NM_001042472
GINS1,NM_021067
NINL,NM_025176
NANP,NM_152667
ZNF337,NM_015655
DEFB115,NM_001037730
DEFB116,NM_001037731
DEFB118,NM_054112
DEFB119,NM_153289
DEFB121,NM_001011878
DEFB123,NM_153324
DEFB124,NM_001037500
REM1,NM_014012
HM13,NM_178581
ID1,NM_002165
COX4I2,NM_032609
TPX2,NM_012112
MYLK2,NM_033118
FOXS1,NM_004118
DUSP15,NM_080611
TTLL9,NM_001008409
PDRG1,NM_030815
XKR7,NM_001011718
CCM2L,NM_001365692
HCK,NM_002110
TM9SF4,NM_014742
PLAGL2,NM_002657
POFUT1,NM_015352
KIF3B,NM_004798
NOL4L,NM_001256798
C20orf203,NM_182584
COMMD7,NM_053041
MAPRE1,NM_012325
EFCAB8,NM_001143967
SUN5,NM_080675
BPIFB2,NM_025227
BPIFB6,NM_174897
BPIFB4,NM_182519
BPIFA2,NM_080574
BPIFA3,NM_178466
BPIFA1,NM_130852
BPIFB1,NM_033197
CDK5RAP1,NM_016408
SNTA1,NM_003098
CBFA2T2,NM_001032999
NECAB3,NM_031232
C20orf144,NM_080825
ACTL10,NM_001024675
E2F1,NM_005225
PXMP4,NM_007238
ZNF341,NM_001282933
CHMP4B,NM_176812
RALY,NM_016732
EIF2S2,NM_003908
ASIP,NM_001672
AHCY,NM_000687
ITCH,NM_031483
DYNLRB1,NM_014183
MAP1LC3A,NM_032514
PIGU,NM_080476
NCOA6,NM_014071
TP53INP2,NM_021202
GGT7,NM_178026
ACSS2,NM_018677
GSS,NM_000178
TRPC4AP,NM_015638
EDEM2,NM_018217
PROCR,NM_006404
MMP24OS,NM_001355003
MMP24,NM_006690
EIF6,NM_002212
FAM83C,NM_178468
UQCC1,NM_018244
GDF5,NM_000557
CEP250,NM_007186
C20orf173,NM_001145350
ERGIC3,NM_015966
